date,region,indicator,frequency,value
2020,Malaysia,Liquids Production,Quarterly,0.590712
2017,Thailand,Liquids Production,Annual,0.521109783561644
2018,Thailand,Liquids Production,Quarterly,
2016,Vietnam,Liquids Production,Quarterly,
2019,Vietnam,Liquids Production,Quarterly,0.221326
2018,Latin America,Demand,Annual,
2019,Latin America,Demand,Annual,
2020,Latin America,Demand,Annual,6.01160309477741
2017,Latin America,Demand,Quarterly,
2020,Latin America,Demand,Quarterly,6.11394242959081
2021,Latin America,Demand,Quarterly,6.40002937421405
2020,Brazil,Liquids Production,Annual,
2021,Brazil,Liquids Production,Quarterly,3.735147
2018,Colombia,Liquids Production,Annual,
2017,Colombia,Liquids Production,Quarterly,
2018,Guyana,Liquids Production,Annual,0.0
2015,Latin America others,Liquids Production,Annual,0.310274079452055
2019,Latin America others,Liquids Production,Annual,
2017,Latin America others,Liquids Production,Quarterly,
2018,Middle East,Demand,Quarterly,
2017,Bahrain,Liquids Production,Quarterly,
2020,Bahrain,Liquids Production,Quarterly,0.226417
2020,Syria,Liquids Production,Annual,
2017,Yemen,Liquids Production,Annual,
2018,Yemen,Liquids Production,Quarterly,0.042
2019,Africa,Demand,Annual,
2018,Cameroon,Liquids Production,Quarterly,0.070663
2019,Chad,Liquids Production,Quarterly,0.121737
2020,Ghana,Liquids Production,Annual,
2019,Ghana,Liquids Production,Quarterly,0.200137
2021,Ghana,Liquids Production,Quarterly,0.17794
2017,Sudans,Liquids Production,Annual,
2020,Africa other,Liquids Production,Annual,0.108733360655738
2021,Eurasia,Demand,Annual,5.33619576022439
2021,Eurasia,Demand,Annual,
2021,Eurasia,Liquids Production,Quarterly,0.3375
2018,Russia,Demand,Annual,
2021,Russia,Demand,Annual,
2018,Russia,Demand,Quarterly,
2021,Russia,Liquids Production,Annual,
2019,Russia,Liquids Production,Quarterly,11.420571
2021,Russia,Liquids Production,Quarterly,10.468112
2017,Kazakhstan,Liquids Production,Annual,
2020,Azerbaijan,Liquids Production,Quarterly,0.687443
2017,other Eurasia,Demand,Annual,1.16585854326522
2017,other Eurasia,Liquids Production,Annual,
2018,Other Europe,Demand,Quarterly,0.731792531106549
2021,Other Europe,Demand,Quarterly,0.742071269507258
2017,China,Demand,Annual,
2018,China,Liquids Production,Annual,
2020,China,Liquids Production,Quarterly,4.127855
2020,China,Liquids Production,Quarterly,4.121646
2021,China,Liquids Production,Quarterly,4.25813
2016,World,Demand,Annual,95.6975224457973
2018,World,Non-OPEC Liquids Production and OPEC NGLs,Quarterly,68.724336
2019,World,Non-OPEC Liquids Production and OPEC NGLs,Quarterly,71.743956
2020,World,Non-OPEC Liquids Production and OPEC NGLs,Quarterly,66.244375
2020,World,Non-OPEC Liquids Production and OPEC NGLs,Quarterly,67.105065
2021,OPEC,"OPEC NGLs + 
non-conventional oils",Annual,5.19249756164384
2015,OPEC,OPEC NGL,Annual,4.33264364931507
2020,OPEC,OPEC Non-conventional,Quarterly,0.108
2020,OPEC,OPEC Non-conventional,Quarterly,0.1
2016,OPEC,"OPEC crude oil production 
(secondary sources)",Quarterly,
2020,OPEC,"OPEC crude oil production 
(secondary sources)",Quarterly,28.229497
2018,Non-OPEC,Liquids Production,Annual,63.3368894493151
2019,Non-OPEC,Liquids Production,Quarterly,66.448881
2021,Non-OPEC,Liquids Production,Quarterly,63.06317
2019,Non-OPEC,Liquids Production (Excluding Processing gains),Annual,63.1624982191781
2015,Non-OPEC,Processing gains,Annual,2.172
2021,OECD,Demand,Quarterly,44.5397881208531
2019,OECD,Liquids Production,Quarterly,31.095963
2016,OECD,"OECD closing stock levels, mb",Quarterly,
2019,OECD,"OECD closing stock levels, mb",Quarterly,4492.206
2015,OECD,Commercial,Annual,2988.717
2021,OECD,Commercial,Quarterly,2968.475
2016,OECD,Oil-on-water,Annual,1102.4556376
2015,OECD,Oil-on-water,Quarterly,
2019,OECD,Oil-on-water,Quarterly,995.4556376
2017,OECD,"Days of forward consumption in OECD, days",Quarterly,92.169396632464
2018,OECD,"Days of forward consumption in OECD, days",Quarterly,90.6720173535792
2018,OECD,Commercial onland stocks,Annual,60.2841555235747
2019,OECD,Commercial onland stocks,Quarterly,64.1806359488745
2020,OECD,"Closing stock levels, mb",Quarterly,4773.155
2018,Americas,Demand,Quarterly,25.4027529128031
2015,Americas,Liquids Production,Quarterly,
2018,Americas,Liquids Production,Quarterly,24.532724
2015,US,Demand,Annual,
2019,US,Demand,Annual,20.8634164383562
2020,US,Demand,Quarterly,16.379
2021,US,Demand,Quarterly,20.2401680775111
2021,US,Liquids Production,Annual,17.6562978493151
2015,Chile,Liquids Production,Annual,
2021,Mexico,Liquids Production,Quarterly,1.917453
2019,Europe,Liquids Production,Annual,3.7093617369863
2019,Europe,Liquids Production,Quarterly,3.823977
2021,Europe,Liquids Production,Quarterly,4.026502
2020,Europe,OECD SPR,Quarterly,39.1825447570332
2018,Norway,Liquids Production,Quarterly,1.794153
2020,Other OECD Europe,Liquids Production,Quarterly,0.803752
2021,Asia Pacific,Demand,Quarterly,7.5145141
2019,Asia Pacific,OECD onland commercial,Annual,55.6946867191551
2018,Asia Pacific,OECD onland commercial,Quarterly,49.1132974056899
2019,Other Asia Pacific,Liquids Production,Quarterly,0.065178
2019,Other Asia Pacific,Liquids Production,Quarterly,0.060433
2020,Non-OECD,Demand,Quarterly,45.7079511460539
2015,Other Asia,Demand,Annual,
2019,Other Asia,Liquids Production,Quarterly,3.436328
2020,Brunei,Liquids Production,Annual,0.109498366120219
2019,Indonesia,Liquids Production,Annual,0.8822026
2019,Indonesia,Liquids Production,Quarterly,0.860802
2020,Malaysia,Liquids Production,Annual,
2021,Malaysia,Liquids Production,Annual,0.611663860273973
2020,Thailand,Liquids Production,Quarterly,0.513639
2021,Vietnam,Liquids Production,Quarterly,0.218838
2018,Asia others,Liquids Production,Annual,0.221637016438356
2019,Argentina,Liquids Production,Quarterly,0.644526
2020,Argentina,Liquids Production,Quarterly,0.668949
2016,Latin America others,Liquids Production,Quarterly,
2020,Latin America others,Liquids Production,Quarterly,0.340445
2019,Qatar,Liquids Production,Annual,1.94144390136986
2020,Syria,Liquids Production,Annual,0.0283784234972678
2021,Cameroon,Liquids Production,Quarterly,0.070054
2020,Chad,Liquids Production,Annual,0.10647781420765
2021,Chad,Liquids Production,Annual,0.107099120547945
2016,Ghana,Liquids Production,Annual,0.0917538879781421
2018,Ghana,Liquids Production,Quarterly,0.191
2019,Africa other,Liquids Production,Annual,0.122342610958904
2015,Russia,Demand,Annual,
2016,Kazakhstan,Liquids Production,Annual,1.56249192622951
2020,Kazakhstan,Liquids Production,Annual,1.82576463114754
2019,Azerbaijan,Liquids Production,Annual,0.788797304109589
2021,Azerbaijan,Liquids Production,Quarterly,0.796872
2016,other Eurasia,Demand,Annual,
2020,other Eurasia,Demand,Quarterly,0.993
2021,other Eurasia,Demand,Quarterly,1.13897585398394
2016,other Eurasia,Liquids Production,Quarterly,
2018,other Eurasia,Liquids Production,Quarterly,0.321998
2015,Other Europe,Demand,Annual,0.672046733233956
2015,Other Europe,Demand,Quarterly,
2020,Other Europe,Demand,Quarterly,0.692071269507258
2015,China,Demand,Annual,11.4897756617359
2017,China,Liquids Production,Annual,3.96911510410959
2019,China,Liquids Production,Annual,4.04454252054795
2020,China,Liquids Production,Quarterly,4.129587
2021,World,Non-OPEC Liquids Production and OPEC NGLs,Quarterly,68.172484
2018,World,Balance (stock change and miscellaneous),Quarterly,1.18974491610786
2019,World,Demand - Total non-OPEC supply and OPEC NGLs,Quarterly,29.0476071838837
2018,OPEC,"OPEC NGLs + 
non-conventional oils",Annual,5.2934296739726
2021,Non-OPEC,Liquids Production (Excluding Processing gains),Quarterly,62.904355
2016,Non-OPEC,Processing gains,Annual,2.194
2019,OECD,Demand,Quarterly,48.2926127241756
2020,OECD,Liquids Production,Quarterly,29.062856
2018,OECD,"OECD closing stock levels, mb",Quarterly,4389.721
2017,OECD,Commercial,Annual,2859.54
2020,OECD,Commercial,Annual,3036.342
2019,OECD,Commercial,Quarterly,2938.327
2019,OECD,SPR,Quarterly,31.9816202287773
2019,OECD,Oil-on-water,Quarterly,1011.4556376
2021,OECD,Commercial onland stocks,Quarterly,66.647712646172
2021,OECD,"Closing stock levels, mb",Quarterly,4513.417
2019,OECD,OECD onland commercial,Quarterly,60.7671633130945
2015,Americas,Demand,Annual,24.5940191780822
2018,Americas,Demand,Annual,
2020,Americas,Demand,Quarterly,20.008
2017,Americas,Liquids Production,Annual,21.5119255643836
2020,Americas,OECD SPR,Annual,27.4620204300942
2018,US,Liquids Production,Quarterly,17.700195
2021,US,Liquids Production,Quarterly,16.642557
2015,Canada,Liquids Production,Quarterly,
2020,Canada,Liquids Production,Quarterly,5.455831
2019,Mexico,Liquids Production,Quarterly,1.918785
2019,Europe,OECD SPR,Annual,38.9330935228085
2020,Europe,OECD SPR,Quarterly,43.9670269779271
2021,Norway,Liquids Production,Annual,2.12284556164384
2019,Norway,Liquids Production,Quarterly,1.650585
2016,Other OECD Europe,Liquids Production,Quarterly,
2018,Asia Pacific,Liquids Production,Annual,0.409792145205479
2021,Asia Pacific,Liquids Production,Annual,0.543096126027397
2018,Asia Pacific,Liquids Production,Quarterly,0.43803
2019,Asia Pacific,Liquids Production,Quarterly,0.511424
2020,Asia Pacific,OECD onland commercial,Quarterly,56.3848368522073
2016,Non-OECD,Demand,Annual,31.5637914713191
2017,Non-OECD,Demand,Quarterly,
2018,Non-OECD,Demand,Quarterly,32.4334255933827
2018,Non-OECD,Demand,Quarterly,32.6242042169227
2019,Non-OECD,Demand,Quarterly,32.9575640678056
2021,Non-OECD,Demand,Quarterly,53.8513136927044
2016,Other Asia,Demand,Annual,
2021,Other Asia,Liquids Production,Quarterly,2.547859
2020,Brunei,Liquids Production,Quarterly,0.10432
2021,India,Liquids Production,Annual,0.754994523287671
2016,India,Liquids Production,Quarterly,
2019,India,Liquids Production,Quarterly,0.845528
2016,Indonesia,Liquids Production,Annual,0.92707931420765
2020,Indonesia,Liquids Production,Quarterly,0.88299
2017,Malaysia,Liquids Production,Annual,0.725468539726027
2020,Malaysia,Liquids Production,Quarterly,0.702
2016,Thailand,Liquids Production,Quarterly,
2019,Thailand,Liquids Production,Quarterly,0.529185
2017,Asia others,Liquids Production,Annual,0.249984789041096
2017,Asia others,Liquids Production,Annual,
2016,Asia others,Liquids Production,Quarterly,
2016,Latin America,Demand,Quarterly,
2015,Latin America,Liquids Production,Quarterly,
2021,Latin America,Liquids Production,Quarterly,6.505918
2018,Brazil,Liquids Production,Annual,3.31607388767123
2019,Brazil,Liquids Production,Quarterly,3.827346
2021,Ecuador,Liquids Production,Quarterly,0.517237
2020,Trinidad & Tobago,Liquids Production,Quarterly,0.098407
2016,Middle East,Demand,Quarterly,
2021,Oman,Liquids Production,Quarterly,0.986835
2017,Syria,Liquids Production,Annual,
2019,Syria,Liquids Production,Annual,0.027668498630137
2017,Africa,Liquids Production,Annual,1.49715893972603
2019,Africa,Liquids Production,Quarterly,1.531159
2016,Egypt,Liquids Production,Annual,0.687546308743169
2020,Ghana,Liquids Production,Quarterly,0.184247
2016,South Africa,Liquids Production,Annual,0.12
2017,South Africa,Liquids Production,Annual,0.118830115068493
2020,Africa other,Liquids Production,Quarterly,0.129436
2018,Eurasia,Demand,Quarterly,4.66363615248639
2020,Eurasia,Liquids Production,Annual,0.359367057377049
2021,Russia,Demand,Quarterly,3.56850966797936
2015,other Eurasia,Demand,Annual,
2019,other Eurasia,Liquids Production,Quarterly,0.320663
2020,Other Europe,Demand,Quarterly,0.708
2021,Other Europe,Liquids Production,Quarterly,0.105225
2018,China,Demand,Annual,13.012606727117
2018,China,Liquids Production,Annual,3.97658341643836
2015,World,Demand,Annual,94.1595618965862
2020,World,Demand,Annual,90.6265272662871
2019,World,Liquids Production,Annual,
2019,World,Non-OPEC Liquids Production and OPEC NGLs,Annual,
2020,World,Non-OPEC Liquids Production and OPEC NGLs,Annual,
2018,World,Oil-on-water,Annual,1058.4556376
2017,World,Oil-on-water,Quarterly,1025.0654376
2016,OPEC,"OPEC NGLs + 
non-conventional oils",Annual,5.10989298087432
2021,OPEC,OPEC NGL,Annual,5.08449756164384
2017,OPEC,OPEC Non-conventional,Annual,0.098
2017,OPEC,"OPEC crude oil production 
(secondary sources)",Annual,31.484148
2018,OPEC,"OPEC crude oil production 
(secondary sources)",Quarterly,31.793533
2018,OPEC,"OPEC crude oil production 
(secondary sources)",Quarterly,31.612683
2020,OPEC,"OPEC crude oil production 
(secondary sources)",Quarterly,24.936844
2019,Non-OPEC,Liquids Production,Annual,65.4264982191781
2018,Non-OPEC,Liquids Production,Quarterly,63.966304
2020,Non-OPEC,Processing gains,Annual,2.07215027322404
2015,OECD,Liquids Production,Annual,25.3583039342466
2020,OECD,Liquids Production,Annual,
2021,OECD,Commercial,Annual,
2019,OECD,Commercial,Quarterly,2947.73
2018,OECD,SPR,Quarterly,32.5019126901959
2020,OECD,Oil-on-water,Quarterly,1186.4556376
2016,OECD,"Days of forward consumption in OECD, days",Annual,96.6610932632581
2020,OECD,"Closing stock levels, mb",Annual,4577.657
2015,OECD,"Closing stock levels, mb",Quarterly,
2016,OECD,OECD SPR,Annual,33.5810503786054
2018,OECD,OECD SPR,Quarterly,32.5282512137176
2016,Americas,Demand,Quarterly,
2018,Americas,Liquids Production,Quarterly,25.146324
2016,Americas,OECD onland commercial,Annual,63.6511247082337
2019,Americas,OECD onland commercial,Annual,
2020,Americas,OECD onland commercial,Quarterly,75.4172646036008
2019,Americas,OECD SPR,Annual,
2015,US,Demand,Quarterly,
2019,Canada,Liquids Production,Quarterly,5.54453
2016,Chile,Liquids Production,Annual,
2021,Europe,Demand,Quarterly,13.6061371002298
2019,Europe,Liquids Production,Annual,
2020,Europe,Liquids Production,Quarterly,4.045658
2016,Europe,OECD onland commercial,Annual,69.039342350334
2018,Europe,OECD onland commercial,Quarterly,64.6966895520359
2018,Norway,Liquids Production,Quarterly,
2020,Norway,Liquids Production,Quarterly,2.014029
2020,Denmark,Liquids Production,Annual,
2021,Denmark,Liquids Production,Quarterly,0.067321
2020,Asia Pacific,OECD SPR,Quarterly,63.6309996942831
2019,Australia,Liquids Production,Annual,
2019,Australia,Liquids Production,Quarterly,0.381252
2019,Other Asia Pacific,Liquids Production,Quarterly,0.075833
2020,Non-OECD,Demand,Quarterly,51.3093522702633
2018,Other Asia,Liquids Production,Annual,2.72384522465753
2019,Other Asia,Liquids Production,Quarterly,3.46937
2020,Other Asia,Liquids Production,Quarterly,2.491443
2021,Other Asia,Liquids Production,Quarterly,2.476648
2018,Brunei,Liquids Production,Annual,0.111451934246575
2019,Brunei,Liquids Production,Quarterly,0.111346
2016,India,Demand,Quarterly,
2020,India,Demand,Quarterly,5.15009407537677
2018,India,Liquids Production,Annual,0.859328673972603
2021,Malaysia,Liquids Production,Annual,
2021,Malaysia,Liquids Production,Quarterly,0.610427
2020,Thailand,Liquids Production,Quarterly,0.519381
2018,Vietnam,Liquids Production,Quarterly,
2016,Asia others,Liquids Production,Annual,0.253453101092896
2018,Asia others,Liquids Production,Annual,
2020,Asia others,Liquids Production,Quarterly,0.215497
2017,Latin America,Liquids Production,Annual,5.72118853150685
2020,Latin America,Liquids Production,Annual,6.05647903278688
2019,Latin America,Liquids Production,Quarterly,6.138601
2017,Brazil,Liquids Production,Annual,3.25187958082192
2019,Brazil,Liquids Production,Quarterly,3.262091
2017,Colombia,Liquids Production,Annual,
2018,Colombia,Liquids Production,Annual,0.89112057260274
2016,Ecuador,Liquids Production,Quarterly,
2019,Ecuador,Liquids Production,Quarterly,0.525043
2018,Guyana,Liquids Production,Annual,
2019,Trinidad & Tobago,Liquids Production,Quarterly,0.082989
2020,Trinidad & Tobago,Liquids Production,Quarterly,0.09307
2020,Latin America others,Liquids Production,Quarterly,0.467382
2021,Latin America others,Liquids Production,Quarterly,0.362481
2019,Bahrain,Liquids Production,Quarterly,0.202685
2018,Oman,Liquids Production,Quarterly,0.99713
2017,Qatar,Liquids Production,Annual,
2021,Qatar,Liquids Production,Annual,
2016,Syria,Liquids Production,Quarterly,
2015,Yemen,Liquids Production,Annual,0.0415697452054794
2019,Africa,Liquids Production,Quarterly,1.518559
2019,Cameroon,Liquids Production,Annual,
2020,Cameroon,Liquids Production,Annual,
2016,Chad,Liquids Production,Annual,0.128513628415301
2018,Chad,Liquids Production,Annual,0.128
2019,Chad,Liquids Production,Quarterly,0.114937
2017,Ghana,Liquids Production,Annual,0.163008301369863
2018,South Africa,Liquids Production,Annual,
2021,South Africa,Liquids Production,Quarterly,0.094012
2015,Sudans,Liquids Production,Annual,0.278578071232877
2018,Sudans,Liquids Production,Quarterly,0.207515
2020,Africa other,Liquids Production,Quarterly,0.10315
2021,Africa other,Liquids Production,Quarterly,0.107744
2021,Eurasia,Demand,Quarterly,5.59686784352615
2019,Russia,Demand,Annual,
2020,Russia,Demand,Quarterly,3.4359122075515
2020,Russia,Demand,Quarterly,3.03742452221104
2017,Russia,Liquids Production,Quarterly,
2021,Russia,Liquids Production,Quarterly,10.659586
2015,Kazakhstan,Liquids Production,Quarterly,
2016,Kazakhstan,Liquids Production,Quarterly,
2017,Azerbaijan,Liquids Production,Annual,0.80385758630137
2019,Azerbaijan,Liquids Production,Quarterly,0.778817
2016,other Eurasia,Demand,Quarterly,
2021,other Eurasia,Demand,Quarterly,1.181
2021,Other Europe,Demand,Quarterly,0.616
2017,Other Europe,Liquids Production,Annual,
2021,Other Europe,Liquids Production,Annual,
2021,Other Europe,Liquids Production,Quarterly,0.10889
2019,China,Demand,Quarterly,13.1902582355049
2018,China,Liquids Production,Quarterly,4.050746
2017,World,Liquids Production,Annual,
2017,World,Demand - Total non-OPEC supply and OPEC NGLs,Annual,32.1047304675381
2017,World,Oil-on-water,Quarterly,1052.0629376
2018,World,Oil-on-water,Quarterly,1041.4556376
2020,World,Oil-on-water,Quarterly,1174.4556376
2020,OPEC,"OPEC NGLs + 
non-conventional oils",Quarterly,5.190314
2020,OPEC,"OPEC NGLs + 
non-conventional oils",Quarterly,4.843314
2020,OPEC,OPEC NGL,Quarterly,5.160075
2019,OPEC,OPEC Non-conventional,Annual,
2021,OPEC,OPEC Non-conventional,Quarterly,0.108
2020,Non-OPEC,Liquids Production,Quarterly,61.465694
2019,Non-OPEC,Processing gains,Annual,
2020,Non-OPEC,Processing gains,Quarterly,2.145
2020,OECD,Demand,Annual,42.0655792349727
2018,OECD,Liquids Production,Annual,28.3014314630137
2019,OECD,"OECD closing stock levels, mb",Annual,
2017,OECD,"OECD closing stock levels, mb",Quarterly,
2018,OECD,Commercial,Annual,2875.194
2019,OECD,Commercial,Annual,
2015,OECD,SPR,Annual,33.8108162911315
2017,OECD,SPR,Annual,32.6905811101123
2021,OECD,SPR,Annual,
2017,OECD,SPR,Quarterly,
2020,OECD,SPR,Quarterly,36.92782310512
2015,OECD,Oil-on-water,Annual,1017.4556376
2020,OECD,"Days of forward consumption in OECD, days",Quarterly,107.074686564371
2015,OECD,Commercial onland stocks,Quarterly,
2018,OECD,"Closing stock levels, mb",Annual,4426.925
2020,OECD,"Closing stock levels, mb",Quarterly,4728.394
2015,OECD,OECD SPR,Annual,
2017,Americas,Liquids Production,Annual,
2019,Americas,Liquids Production,Annual,25.7733386575343
2021,Americas,OECD onland commercial,Annual,
2021,Americas,OECD onland commercial,Quarterly,
2019,Canada,Liquids Production,Annual,
2015,Chile,Liquids Production,Quarterly,
2021,Mexico,Liquids Production,Quarterly,1.944373
2015,Europe,OECD SPR,Annual,
2020,Europe,OECD SPR,Annual,
2021,Europe,OECD SPR,Annual,
2020,Norway,Liquids Production,Quarterly,1.990368
2015,Denmark,Liquids Production,Annual,0.16155361369863
2017,Other OECD Europe,Liquids Production,Annual,
2021,Other OECD Europe,Liquids Production,Quarterly,0.781175
2021,Asia Pacific,Demand,Annual,7.36944703406393
2015,Asia Pacific,Demand,Quarterly,
2020,Asia Pacific,Liquids Production,Annual,0.532857732240437
2020,Asia Pacific,OECD onland commercial,Quarterly,55.9257107918068
2020,Asia Pacific,OECD onland commercial,Quarterly,49.9633280757098
2021,Asia Pacific,OECD SPR,Quarterly,
2015,Australia,Liquids Production,Annual,0.379411046575342
2018,Australia,Liquids Production,Annual,
2020,Non-OECD,Demand,Annual,
2015,Non-OECD,Demand,Quarterly,
2016,Non-OECD,Demand,Quarterly,
2020,Non-OECD,Liquids Production,Quarterly,31.053895
2018,Other Asia,Demand,Quarterly,
2021,Other Asia,Liquids Production,Annual,
2018,Brunei,Liquids Production,Annual,
2018,Brunei,Liquids Production,Quarterly,
2015,India,Demand,Annual,
2018,India,Liquids Production,Annual,
2021,India,Liquids Production,Annual,
2018,India,Liquids Production,Quarterly,
2019,Indonesia,Liquids Production,Annual,
2020,Indonesia,Liquids Production,Quarterly,0.853623
2021,Indonesia,Liquids Production,Quarterly,0.891199
2021,Malaysia,Liquids Production,Quarterly,0.603101
2018,Vietnam,Liquids Production,Annual,
2021,Asia others,Liquids Production,Annual,0.223342323287671
2020,Asia others,Liquids Production,Quarterly,0.214376
2019,Latin America,Demand,Annual,6.59401970616966
2021,Argentina,Liquids Production,Quarterly,0.676705
2017,Brazil,Liquids Production,Quarterly,
2020,Brazil,Liquids Production,Quarterly,3.778944
2015,Colombia,Liquids Production,Quarterly,
2019,Colombia,Liquids Production,Quarterly,0.901537
2020,Colombia,Liquids Production,Quarterly,0.902976
2019,Guyana,Liquids Production,Annual,
2018,Trinidad & Tobago,Liquids Production,Quarterly,
2020,Latin America others,Liquids Production,Annual,0.343410101092896
2019,Bahrain,Liquids Production,Annual,
2019,Oman,Liquids Production,Quarterly,0.97533
2016,Qatar,Liquids Production,Annual,1.98514356010929
2020,Qatar,Liquids Production,Quarterly,1.96052
2016,Syria,Liquids Production,Annual,0.0250847841530055
2019,Yemen,Liquids Production,Quarterly,0.047
2020,Africa,Demand,Quarterly,3.93610073806174
2015,Africa,Liquids Production,Annual,1.57769830136986
2017,Chad,Liquids Production,Annual,0.120575353424658
2020,Chad,Liquids Production,Annual,
2018,Egypt,Liquids Production,Quarterly,0.671811
2019,Egypt,Liquids Production,Quarterly,0.641674
2021,Egypt,Liquids Production,Quarterly,0.590008
2018,Ghana,Liquids Production,Annual,
2019,Ghana,Liquids Production,Quarterly,0.200737
2020,Sudans,Liquids Production,Annual,0.230180210382514
2018,Africa other,Liquids Production,Quarterly,0.129652
2018,Eurasia,Demand,Annual,5.49820301970974
2020,Eurasia,Demand,Annual,
2017,Eurasia,Liquids Production,Annual,
2018,Eurasia,Liquids Production,Quarterly,14.102336
2015,Russia,Demand,Quarterly,
2020,Russia,Demand,Quarterly,3.5903856016606
2019,Russia,Liquids Production,Annual,11.6117699835616
2020,Russia,Liquids Production,Quarterly,11.675
2019,Kazakhstan,Liquids Production,Annual,1.92805493424658
2018,Azerbaijan,Liquids Production,Quarterly,
2019,other Eurasia,Demand,Annual,1.23557534246575
2018,other Eurasia,Liquids Production,Quarterly,0.322398
2020,other Eurasia,Liquids Production,Quarterly,2.849974
2021,other Eurasia,Liquids Production,Quarterly,2.960851
2021,Other Europe,Demand,Quarterly,0.712
2020,China,Demand,Annual,13.1905689760039
2020,China,Demand,Annual,
2019,China,Liquids Production,Quarterly,4.076609
2018,World,Demand,Annual,99.1310061728645
2019,World,Demand,Annual,
2017,World,Liquids Production,Annual,97.049695139726
2018,World,Liquids Production,Quarterly,97.616869
2018,World,Non-OPEC Liquids Production and OPEC NGLs,Annual,
2015,World,Non-OPEC Liquids Production and OPEC NGLs,Quarterly,
2019,World,Balance (stock change and miscellaneous),Annual,
2021,World,Balance (stock change and miscellaneous),Annual,
2019,World,Demand - Total non-OPEC supply and OPEC NGLs,Annual,
2015,World,Demand - Total non-OPEC supply and OPEC NGLs,Quarterly,
2020,World,Demand - Total non-OPEC supply and OPEC NGLs,Quarterly,21.532634183967
2017,OPEC,"OPEC NGLs + 
non-conventional oils",Annual,5.16604077260274
2017,OPEC,OPEC NGL,Annual,
2019,OPEC,OPEC NGL,Quarterly,5.111075
2016,OPEC,OPEC Non-conventional,Annual,0.0984726775956284
2020,OPEC,OPEC Non-conventional,Annual,
2015,OPEC,OPEC Non-conventional,Quarterly,
2017,Non-OPEC,Liquids Production,Annual,60.3995063671233
2018,Non-OPEC,Liquids Production,Annual,
2021,Non-OPEC,Liquids Production,Annual,
2018,Non-OPEC,Liquids Production,Quarterly,62.722704
2017,Non-OPEC,Liquids Production (Excluding Processing gains),Annual,
2020,Non-OPEC,Liquids Production (Excluding Processing gains),Annual,
2021,Non-OPEC,Processing gains,Annual,2.2
2017,Non-OPEC,Processing gains,Quarterly,
2021,Non-OPEC,Processing gains,Quarterly,2.2
2016,OECD,Demand,Annual,47.0655081967213
2018,OECD,Commercial,Annual,
2018,OECD,Commercial,Quarterly,2814.987
2019,OECD,"Days of forward consumption in OECD, days",Quarterly,92.8620303790124
2015,OECD,"Closing stock levels, mb",Annual,
2017,OECD,"Closing stock levels, mb",Annual,
2021,OECD,"Closing stock levels, mb",Quarterly,
2019,OECD,OECD onland commercial,Quarterly,61.0647689856612
2016,OECD,OECD SPR,Quarterly,
2019,OECD,OECD SPR,Quarterly,32.2471239169016
2020,OECD,OECD SPR,Quarterly,40.9295508400117
2018,Americas,Demand,Quarterly,25.7766561077835
2019,Americas,Liquids Production,Quarterly,25.065162
2017,Americas,OECD SPR,Annual,
2021,Americas,OECD SPR,Quarterly,
2021,US,Demand,Annual,
2017,US,Demand,Quarterly,
2019,US,Liquids Production,Annual,
2020,US,Liquids Production,Annual,
2018,Canada,Liquids Production,Annual,5.27854257534247
2016,Canada,Liquids Production,Quarterly,
2019,Chile,Liquids Production,Annual,
2019,Mexico,Liquids Production,Annual,
2021,Mexico,Liquids Production,Annual,
2017,Mexico,Liquids Production,Quarterly,
2019,Mexico,Liquids Production,Quarterly,1.932206
2017,Europe,Demand,Quarterly,
2019,Europe,Demand,Quarterly,14.0882374366731
2017,Europe,Liquids Production,Quarterly,
2018,Europe,Liquids Production,Quarterly,3.70257
2020,Europe,Liquids Production,Quarterly,3.886051
2018,Europe,OECD onland commercial,Annual,
2021,Europe,OECD onland commercial,Quarterly,81.9748706312562
2017,Europe,OECD SPR,Annual,
2019,UK,Liquids Production,Annual,
2021,Asia Pacific,OECD onland commercial,Annual,
2019,Asia Pacific,OECD onland commercial,Quarterly,50.797213622291
2021,Asia Pacific,OECD SPR,Annual,
2019,Asia Pacific,OECD SPR,Quarterly,53.6893704850361
2018,Australia,Liquids Production,Quarterly,0.344652
2020,Other Asia Pacific,Liquids Production,Annual,
2020,Other Asia Pacific,Liquids Production,Quarterly,0.065558
2021,Other Asia Pacific,Liquids Production,Quarterly,0.067526
2021,Non-OECD,Liquids Production,Annual,
2019,Other Asia,Demand,Quarterly,
2017,Other Asia,Liquids Production,Quarterly,
2019,Brunei,Liquids Production,Annual,
2021,Brunei,Liquids Production,Annual,
2017,Brunei,Liquids Production,Quarterly,
2019,Brunei,Liquids Production,Quarterly,0.126946
2017,India,Demand,Annual,4.53053178692098
2017,India,Demand,Quarterly,
2019,India,Demand,Quarterly,
2021,India,Demand,Quarterly,4.90675723242456
2021,India,Demand,Quarterly,5.60902736302545
2015,Indonesia,Liquids Production,Annual,0.862380849315068
2017,Malaysia,Liquids Production,Annual,
2019,Malaysia,Liquids Production,Quarterly,0.693796
2021,Malaysia,Liquids Production,Quarterly,0.630754
2019,Asia others,Liquids Production,Annual,
2019,Asia others,Liquids Production,Quarterly,0.224985
2019,Asia others,Liquids Production,Quarterly,0.222985
2017,Latin America,Demand,Annual,6.50637752870128
2021,Latin America,Demand,Quarterly,6.14897576292415
2018,Latin America,Liquids Production,Annual,
2020,Latin America,Liquids Production,Annual,
